date,district_code,district,region,latitude,longitude,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report
2025-02-01,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-02,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-02,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 02.02.2025.xls
2025-02-03,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-03,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 03.02.2025.xls
2025-02-04,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-04,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 04.02.2025.xls
2025-02-05,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-05,494,Uttara Kannada,Coastal Karnataka,14.79,74.69,0.00,0.00,-100.00,2025/FEB 2025/dailu cum dated 05.02.2025.xls
2025-02-06,492,Dakshina Kannada,Coastal Karnataka,12.84,74.86,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
2025-02-06,493,Udupi,Coastal Karnataka,13.34,74.74,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 06.02.2025.xls
