date,district_code,district,region,latitude,longitude,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report,gfs_rain_mm,ifs_hres_rain_mm,aifs_rain_mm
2025-02-01,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 01.02.2025.xls,0.000,,
2025-02-01,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 01.02.2025.xls,0.000,,
2025-02-01,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 01.02.2025.xls,0.000,,
2025-02-02,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 02.02.2025.xls,0.000,,
2025-02-02,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 02.02.2025.xls,0.000,,
2025-02-02,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 02.02.2025.xls,0.000,,
2025-02-03,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 03.02.2025.xls,0.000,,
2025-02-03,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 03.02.2025.xls,0.000,,
2025-02-03,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 03.02.2025.xls,0.000,,
2025-02-04,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 04.02.2025.xls,0.000,,
2025-02-04,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 04.02.2025.xls,0.000,,
2025-02-04,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 04.02.2025.xls,0.000,,
2025-02-05,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/dailu cum dated 05.02.2025.xls,0.000,,
2025-02-05,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/dailu cum dated 05.02.2025.xls,0.000,,
2025-02-05,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/dailu cum dated 05.02.2025.xls,0.000,,
2025-02-06,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 06.02.2025.xls,0.000,,
2025-02-06,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 06.02.2025.xls,0.000,,
2025-02-06,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 06.02.2025.xls,0.000,,
2025-02-07,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.400,-100.000,2025/FEB 2025/daily cum dated 07.02.2025.xls,0.000,,
2025-02-07,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 07.02.2025.xls,0.000,,
2025-02-07,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 07.02.2025.xls,0.000,,
2025-02-08,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 08.02.2025.xls,0.000,,
2025-02-08,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 08.02.2025.xls,0.000,,
2025-02-08,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 08.02.2025.xls,0.000,,
2025-02-09,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/daily Cum dated 09.02.2025.xls,0.000,,
2025-02-09,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 09.02.2025.xls,0.000,,
2025-02-09,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 09.02.2025.xls,0.000,,
2025-02-10,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 10.02.2025.xls,0.000,,
2025-02-10,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 10.02.2025.xls,0.000,,
2025-02-10,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 10.02.2025.xls,0.000,,
2025-02-11,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 11.02.2025.xls,0.000,,
2025-02-11,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 11.02.2025.xls,0.000,,
2025-02-11,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 11.02.2025.xls,0.000,,
2025-02-12,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 12.02.2025.xls,0.000,,
2025-02-12,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 12.02.2025.xls,0.000,,
2025-02-12,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 12.02.2025.xls,0.000,,
2025-02-13,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 13.02.2025.xls,0.000,,
2025-02-13,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 13.02.2025.xls,0.000,,
2025-02-13,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 13.02.2025.xls,0.000,,
2025-02-14,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 14.02.2025.xls,0.000,,
2025-02-14,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 14.02.2025.xls,0.000,,
2025-02-14,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 14.02.2025.xls,0.000,,
2025-02-15,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.500,-100.000,2025/FEB 2025/daily cum dated 15.02.2025.xls,0.000,,
2025-02-15,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 15.02.2025.xls,0.000,,
2025-02-15,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 15.02.2025.xls,0.000,,
2025-02-16,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/daily Cum dated 16.02.2025.xls,0.000,,
2025-02-16,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily Cum dated 16.02.2025.xls,0.000,,
2025-02-16,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.100,-100.000,2025/FEB 2025/daily Cum dated 16.02.2025.xls,0.000,,
2025-02-17,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.400,-100.000,2025/FEB 2025/daily cum dated 17.02.2025.xls,0.000,,
2025-02-17,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.100,-100.000,2025/FEB 2025/daily cum dated 17.02.2025.xls,0.000,,
2025-02-17,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 17.02.2025.xls,0.000,,
2025-02-18,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.100,-100.000,2025/FEB 2025/daily Cum dated 18.02.2025.xls,0.000,,0.000
2025-02-18,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 18.02.2025.xls,0.000,,0.000
2025-02-18,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily Cum dated 18.02.2025.xls,0.000,,0.000
2025-02-19,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 19.02.2025.xls,0.000,,0.000
2025-02-19,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 19.02.2025.xls,0.000,,0.000
2025-02-19,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 19.02.2025.xls,0.000,,0.000
2025-02-20,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.200,-100.000,2025/FEB 2025/daily cum dated 20.02.2025.xls,0.000,,0.000
2025-02-20,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 20.02.2025.xls,0.000,,0.000
2025-02-20,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 20.02.2025.xls,0.000,,0.000
2025-02-21,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,0.000,-100.000,2025/FEB 2025/daily cum dated 21.02.2025.xls,0.000,,0.000
