date,district_code,district,region,latitude,longitude,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report,gfs_rain_mm,ifs_hres_rain_mm,aifs_rain_mm,split
2025-10-01,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,3.300,10.800,-69.000,2025/oct 2025/daily dated cum 01.10.2025.xls,12.600,2.800,7.200,train
2025-10-01,493,Udupi,Coastal Karnataka,13.340,74.740,8.300,10.200,-19.000,2025/oct 2025/daily dated cum 01.10.2025.xls,17.300,4.500,9.600,train
2025-10-01,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,23.000,7.300,215.000,2025/oct 2025/daily dated cum 01.10.2025.xls,0.800,3.400,7.800,train
2025-10-02,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,13.200,13.300,-1.000,2025/oct 2025/daily dated cum 02.10.2025.xls,4.000,5.800,9.000,train
2025-10-02,493,Udupi,Coastal Karnataka,13.340,74.740,14.000,13.700,2.000,2025/oct 2025/daily dated cum 02.10.2025.xls,6.700,4.400,11.400,train
2025-10-02,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,18.200,8.600,112.000,2025/oct 2025/daily dated cum 02.10.2025.xls,0.600,3.300,8.400,train
2025-10-03,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,4.800,12.100,-60.000,2025/oct 2025/daily dated cum 03.10.2025.xls,0.200,1.400,5.400,train
2025-10-03,493,Udupi,Coastal Karnataka,13.340,74.740,4.900,14.000,-65.000,2025/oct 2025/daily dated cum 03.10.2025.xls,0.200,3.000,5.400,train
2025-10-03,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,2.300,11.700,-80.000,2025/oct 2025/daily dated cum 03.10.2025.xls,0.500,1.900,2.400,train
2025-10-04,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,2.100,11.800,-82.000,2025/oct 2025/daily dated cum 04.10.2025.xls,0.000,4.600,6.000,train
2025-10-04,493,Udupi,Coastal Karnataka,13.340,74.740,4.600,11.600,-61.000,2025/oct 2025/daily dated cum 04.10.2025.xls,0.100,2.400,3.000,train
2025-10-04,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,1.300,10.300,-87.000,2025/oct 2025/daily dated cum 04.10.2025.xls,0.000,0.800,1.200,train
2025-10-05,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,11.700,-100.000,2025/oct 2025/daily dated cum 05.10.2025.xls,0.500,1.100,1.800,train
2025-10-05,493,Udupi,Coastal Karnataka,13.340,74.740,0.300,12.100,-97.000,2025/oct 2025/daily dated cum 05.10.2025.xls,0.400,0.600,1.800,train
2025-10-05,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.500,7.100,-93.000,2025/oct 2025/daily dated cum 05.10.2025.xls,0.900,4.500,2.400,train
2025-10-06,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,11.800,-100.000,2025/oct 2025/daily dated cum 06.10.2025.xls,0.000,0.500,0.000,train
2025-10-06,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,10.800,-100.000,2025/oct 2025/daily dated cum 06.10.2025.xls,0.000,0.500,0.000,train
2025-10-06,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.200,7.700,-98.000,2025/oct 2025/daily dated cum 06.10.2025.xls,0.000,0.100,0.000,train
2025-10-07,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,10.000,-100.000,2025/oct 2025/daily dated cum 07.10.2025.xls,0.100,0.200,0.000,train
2025-10-07,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,8.400,-100.000,2025/oct 2025/daily dated cum 07.10.2025.xls,0.100,0.400,0.000,train
2025-10-07,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.100,4.300,-97.000,2025/oct 2025/daily dated cum 07.10.2025.xls,0.700,0.800,1.200,train
2025-10-08,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,0.000,7.100,-100.000,2025/oct 2025/daily dated cum 08.10.2025.xls,12.600,0.500,3.600,train
2025-10-08,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,6.100,-100.000,2025/oct 2025/daily dated cum 08.10.2025.xls,7.400,0.200,1.200,train
2025-10-08,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,0.000,3.900,-100.000,2025/oct 2025/daily dated cum 08.10.2025.xls,0.500,0.800,1.800,train
2025-10-09,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,3.600,9.900,-64.000,2025/oct 2025/daily dated cum 09.10.2025.xls,32.600,4.700,7.800,train
2025-10-09,493,Udupi,Coastal Karnataka,13.340,74.740,0.700,5.500,-88.000,2025/oct 2025/daily dated cum 09.10.2025.xls,24.400,2.200,7.800,train
2025-10-09,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,1.300,5.800,-78.000,2025/oct 2025/daily dated cum 09.10.2025.xls,5.000,6.800,8.400,train
2025-10-10,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,1.400,8.700,-83.000,2025/oct 2025/daily dated cum 10.10.2025.xls,12.100,8.500,14.400,train
2025-10-10,493,Udupi,Coastal Karnataka,13.340,74.740,2.500,5.000,-50.000,2025/oct 2025/daily dated cum 10.10.2025.xls,11.500,22.200,16.800,train
2025-10-10,494,Uttara Kannada,Coastal Karnataka,14.790,74.690,8.100,3.800,114.000,2025/oct 2025/daily dated cum 10.10.2025.xls,2.900,22.600,4.800,train
2025-10-11,492,Dakshina Kannada,Coastal Karnataka,12.840,74.860,5.000,8.100,-39.000,2025/oct 2025/daily dated cum 11.10.2025.xls,4.700,2.000,12.000,train
2025-10-11,493,Udupi,Coastal Karnataka,13.340,74.740,0.000,5.000,-100.000,2025/oct 2025/daily dated cum 11.10.2025.xls,7.300,3.400,13.800,train
