date,district_code,district,division,imd_actual_mm,imd_normal_mm,imd_departure_percent,source_report
2025-02-01,492,Dakshina Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,493,Udupi,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,494,Uttara Kannada,Coastal Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,495,Bagalkote,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,496,Belagavi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,497,Bidar,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,498,Vijayapura,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,499,Dharwad,North Interior Karnataka,0.00,0.40,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,500,Gadag,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,501,Kalaburagi,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,502,Haveri,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,503,Koppal,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,504,Raichur,North Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,505,Bengaluru Rural,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,506,Bengaluru Urban,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,507,Ballari,South Interior Karnataka,0.00,0.20,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,508,Chamarajanagar,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,509,Chikkamagaluru,South Interior Karnataka,0.00,0.00,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,510,Chitradurga,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
2025-02-01,511,Davangere,South Interior Karnataka,0.00,0.10,-100.00,2025/FEB 2025/daily cum dated 01.02.2025.xls
